pickup_lat_grid,pickup_lon_grid,pct_morning_cell,pct_afternoon_cell,pct_evening_cell,pct_late_night_cell,pct_weekend_cell,pct_weekday_cell,pct_short_cell,pct_medium_cell,pct_long_cell,total_trips,pct_morning_city,pct_afternoon_city,pct_evening_city,pct_late_night_city,pct_weekend_city,pct_weekday_city,pct_short_city,pct_medium_city,pct_long_city,late_night_dev,weekend_dev,short_dev,night_life_score,night_rank
41.893,-87.626,23.07,25.89,27.97,23.07,34.84,65.16,46.14,34.96,18.9,1358876,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-3.4899999999999984,2.980000000000004,19.98,6.490000000000002,62
42.002,-87.674,22.78,23.34,18.5,35.38,41.2,58.8,27.43,48.68,23.89,84144,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.8200000000000038,9.3400000000000034,1.2699999999999996,6.4766666666666692,63
41.942,-87.661,11.76,19.57,37.28,31.39,40.33,59.67,32.12,59.61,8.27,43419,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.8300000000000018,8.4699999999999989,5.9599999999999973,6.419999999999999,64
41.922,-87.641,19.63,20.0,31.18,29.2,41.63,58.37,32.99,57.42,9.59,144171,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,2.6400000000000006,9.7700000000000031,6.8300000000000018,6.4133333333333349,65
41.951,-87.667,15.9,19.87,30.48,33.76,42.33,57.67,27.58,62.32,10.1,107622,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,7.1999999999999993,10.469999999999999,1.4199999999999982,6.3633333333333324,66
41.9,-87.632,29.01,22.46,27.52,21.0,35.26,64.74,46.16,41.86,11.98,365225,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-5.5599999999999987,3.3999999999999986,19.999999999999996,5.9466666666666654,67
41.885,-87.643,22.38,23.29,30.45,23.88,28.81,71.19,49.42,37.31,13.27,924883,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.6799999999999997,-3.0500000000000007,23.26,5.8433333333333337,68
41.906,-87.675,14.03,19.76,28.65,37.56,44.21,55.79,19.95,71.26,8.79,344260,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,11.000000000000004,12.350000000000001,-6.2100000000000009,5.7133333333333347,69
41.945,-87.669,15.38,22.35,31.97,30.3,42.12,57.88,29.23,61.12,9.65,116146,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,3.740000000000002,10.259999999999998,3.0700000000000003,5.69,70
41.903,-87.626,23.11,24.26,28.51,24.12,38.63,61.37,38.89,46.91,14.2,236211,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.4399999999999977,6.7700000000000031,12.73,5.6866666666666683,71
41.921,-87.695,15.29,19.19,29.93,35.59,44.72,55.28,21.08,70.0,8.91,101132,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.0300000000000047,12.86,-5.0800000000000018,5.6033333333333344,72
41.958,-87.676,11.86,19.58,36.22,32.33,43.45,56.55,25.56,64.67,9.77,48010,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,5.77,11.590000000000003,-0.60000000000000142,5.5866666666666669,73
41.877,-87.622,18.9,30.3,27.71,23.09,32.49,67.51,45.53,36.26,18.21,700488,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-3.4699999999999989,0.63000000000000256,19.37,5.5100000000000016,74
41.892,-87.675,14.96,20.98,29.16,34.9,41.78,58.22,24.33,66.7,8.97,67874,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.34,9.9200000000000017,-1.8300000000000018,5.4766666666666666,75
41.902,-87.638,28.6,24.2,29.34,17.86,34.61,65.39,48.09,40.4,11.52,204256,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-8.7,2.75,21.930000000000003,5.326666666666668,76
41.929,-87.661,19.69,18.92,34.15,27.25,40.18,59.82,33.12,56.48,10.4,79689,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,0.69000000000000128,8.32,6.9599999999999973,5.3233333333333333,77
41.915,-87.654,14.2,24.52,32.4,28.88,39.06,60.94,32.45,59.4,8.15,290534,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,2.3200000000000003,7.2000000000000028,6.2900000000000027,5.2700000000000022,78
41.79,-87.601,8.13,22.41,43.7,25.75,19.89,80.11,54.62,26.61,18.77,481846,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.80999999999999872,-11.969999999999999,28.459999999999997,5.2266666666666666,79
41.928,-87.695,16.35,15.35,32.58,35.72,44.32,55.68,20.03,72.01,7.96,31313,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.16,12.46,-6.129999999999999,5.163333333333334,80
41.951,-87.671,17.77,20.06,32.72,29.45,44.11,55.89,26.09,62.54,11.37,45195,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,2.8900000000000006,12.25,-0.070000000000000284,5.0233333333333334,81
41.958,-87.672,14.47,21.19,33.32,31.02,42.36,57.64,26.18,63.92,9.9,48163,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.4600000000000009,10.5,0.019999999999999574,4.9933333333333332,82
41.95,-87.644,19.84,22.19,26.37,31.61,40.98,59.02,26.62,61.89,11.49,247122,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,5.0500000000000007,9.1199999999999974,0.46000000000000085,4.876666666666666,83
41.916,-87.7,15.62,13.65,38.27,32.46,43.78,56.22,22.36,69.36,8.28,13769,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,5.9000000000000021,11.920000000000002,-3.8000000000000007,4.6733333333333347,84
41.934,-87.722,22.34,19.07,23.28,35.31,46.5,53.5,16.75,71.13,12.12,34664,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.7500000000000036,14.64,-9.41,4.660000000000001,85
41.912,-87.684,15.94,18.36,31.16,34.54,43.08,56.92,20.52,69.27,10.2,116530,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,7.98,11.219999999999999,-5.6400000000000006,4.52,86
41.892,-87.613,19.66,28.84,31.37,20.13,37.63,62.37,40.27,46.26,13.48,491860,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-6.43,5.7700000000000031,14.110000000000003,4.4833333333333352,87
41.908,-87.671,13.36,22.33,31.06,33.25,43.66,56.34,20.93,70.59,8.48,192180,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.6900000000000013,11.799999999999997,-5.23,4.419999999999999,88
41.871,-87.631,29.0,23.65,26.2,21.16,34.47,65.53,42.12,44.75,13.13,480680,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-5.3999999999999986,2.6099999999999994,15.959999999999997,4.39,89
41.905,-87.65,17.52,25.51,29.1,27.88,33.36,66.64,36.03,54.08,9.89,466961,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,1.3200000000000003,1.5,9.870000000000001,4.23,90
41.92,-87.68,18.11,18.58,30.49,32.82,41.15,58.85,23.29,67.73,8.98,99405,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.2600000000000016,9.29,-2.870000000000001,4.2266666666666666,91
41.942,-87.666,11.13,22.36,42.74,23.77,41.26,58.74,32.18,59.84,7.99,43922,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.7899999999999991,9.3999999999999986,6.02,4.21,92
41.905,-87.702,15.89,23.77,24.74,35.6,41.2,58.8,20.21,70.37,9.41,33353,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.0400000000000027,9.3400000000000034,-5.9499999999999993,4.1433333333333353,93
41.892,-87.665,22.45,19.87,29.48,28.2,38.98,61.02,29.57,61.61,8.82,108430,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,1.6400000000000006,7.1199999999999974,3.41,4.0566666666666658,94
